"customerID";"gender";"SeniorCitizen";"Partner";"Dependents";"tenure";"PhoneService";"MultipleLines";"InternetService";"OnlineSecurity";"OnlineBackup";"DeviceProtection";"TechSupport";"StreamingTV";"StreamingMovies";"Contract";"PaperlessBilling";"PaymentMethod";"MonthlyCharges";"TotalCharges";"Churn";"TenureMonthsBinned";"TotalServiceAddons";"HasPaperlessElectronicPayment";"AverageMonthlyChargePerTenure"
"0877-SDMBN";"Female";"No";"No";"No";54;"Yes";"Yes";"Fiber optic";"Yes";"No";"Yes";"No";"Yes";"Yes";"One year";"Yes";"Bank transfer (automatic)";103.95;5639.05;"Yes";"49-72 Months";4;"No";104.426852
"0880-FVFWF";"Male";"No";"No";"No";56;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";86.4;4922.4;"No";"49-72 Months";2;"Yes";87.9
"0880-TKATG";"Male";"No";"Yes";"Yes";4;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"No";"Electronic check";101.15;385.9;"Yes";"0-12 Months";3;"No";96.475
"0883-EIBTI";"Female";"No";"No";"No";2;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.5;31.55;"Yes";"0-12 Months";0;"No";15.775
"0885-HMGPY";"Male";"No";"No";"No";62;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"No";"No";"Two year";"No";"Bank transfer (automatic)";69.4;4237.5;"No";"49-72 Months";4;"No";68.346774
"0886-QGENL";"Female";"Yes";"Yes";"No";27;"Yes";"No";"Fiber optic";"Yes";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";101.25;2754.45;"Yes";"25-48 Months";4;"Yes";102.016667
"0887-HJGAR";"Male";"No";"No";"No";1;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";45.7;45.7;"Yes";"0-12 Months";0;"No";45.7
"0887-WBJVH";"Female";"No";"Yes";"No";53;"Yes";"No";"Fiber optic";"No";"No";"No";"Yes";"Yes";"Yes";"One year";"Yes";"Electronic check";93.45;4872.2;"No";"49-72 Months";3;"Yes";91.928302
"0895-DQHEW";"Male";"No";"Yes";"No";54;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";104.3;5278.15;"Yes";"49-72 Months";4;"Yes";97.743519
"0895-LMRSF";"Male";"No";"No";"No";23;"Yes";"No";"DSL";"No";"No";"No";"No";"Yes";"Yes";"One year";"Yes";"Bank transfer (automatic)";64.9;1509.8;"No";"13-24 Months";2;"No";65.643478
"0895-LNKRC";"Male";"No";"Yes";"Yes";6;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Mailed check";19.45;113.5;"No";"0-12 Months";0;"No";18.916667
"0895-UADGO";"Male";"No";"No";"Yes";8;"No";"No phone service";"DSL";"Yes";"No";"No";"Yes";"No";"Yes";"Two year";"Yes";"Mailed check";44.55;343.45;"No";"0-12 Months";3;"No";42.93125
"0897-FEGMU";"Female";"No";"Yes";"No";11;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";99.5;1056.95;"Yes";"0-12 Months";3;"Yes";96.086364
"0898-XCGTF";"Male";"No";"Yes";"No";61;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"One year";"Yes";"Bank transfer (automatic)";96.5;5673.7;"No";"49-72 Months";2;"No";93.011475
"0899-LIIBW";"Male";"No";"Yes";"No";34;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"No";"Electronic check";100.85;3527.3;"No";"25-48 Months";3;"No";103.744118
"0899-WZRSD";"Male";"No";"No";"No";56;"Yes";"Yes";"Fiber optic";"Yes";"No";"No";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Mailed check";105.35;5794.45;"No";"49-72 Months";4;"No";103.472321
"0902-RFHOF";"Male";"No";"No";"No";38;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Mailed check";20.1;730.1;"No";"25-48 Months";0;"No";19.213158
"0902-XKXPN";"Male";"No";"Yes";"Yes";69;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Bank transfer (automatic)";20.2;1376.5;"No";"49-72 Months";0;"No";19.949275
"0906-QVPMS";"Male";"No";"Yes";"No";72;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"No";"Bank transfer (automatic)";115.15;8349.45;"No";"49-72 Months";6;"No";115.964583
"0907-HQNTS";"Female";"Yes";"Yes";"No";70;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Credit card (automatic)";113.0;7987.6;"No";"49-72 Months";6;"No";114.108571
"0909-SDHNU";"Female";"No";"No";"Yes";7;"No";"No phone service";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";29.8;201.95;"No";"0-12 Months";1;"No";28.85
"0909-SELIE";"Male";"No";"Yes";"No";61;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"Two year";"Yes";"Bank transfer (automatic)";80.8;4860.85;"No";"49-72 Months";5;"No";79.686066
"0913-XWSCN";"Male";"No";"Yes";"Yes";55;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"No";"Bank transfer (automatic)";85.5;4713.4;"No";"49-72 Months";1;"No";85.698182
"0916-KNFAJ";"Male";"No";"Yes";"No";61;"Yes";"Yes";"DSL";"Yes";"No";"Yes";"No";"No";"Yes";"Two year";"Yes";"Mailed check";69.9;4226.7;"No";"49-72 Months";3;"No";69.290164
"0916-QOFDP";"Female";"Yes";"Yes";"Yes";14;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";95.8;1346.3;"No";"13-24 Months";2;"Yes";96.164286
"0917-EZOLA";"Male";"Yes";"Yes";"No";72;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Two year";"Yes";"Bank transfer (automatic)";104.15;7689.95;"Yes";"49-72 Months";4;"No";106.804861
"0921-OHLVP";"Male";"No";"No";"No";22;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"No";"Electronic check";83.05;1799.3;"No";"13-24 Months";1;"No";81.786364
"0923-PNFUB";"Female";"No";"No";"No";3;"Yes";"No";"Fiber optic";"No";"Yes";"No";"No";"Yes";"No";"Month-to-month";"No";"Electronic check";83.75;247.25;"Yes";"0-12 Months";2;"No";82.416667
"0924-BJCRC";"Female";"Yes";"Yes";"No";60;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"Yes";"Month-to-month";"No";"Electronic check";89.45;5294.6;"No";"49-72 Months";2;"No";88.243333
"0925-VYDLG";"Female";"No";"No";"No";3;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Electronic check";75.25;242.0;"Yes";"0-12 Months";0;"No";80.666667
"0927-CNGRH";"Male";"No";"No";"Yes";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.55;19.55;"No";"0-12 Months";0;"No";19.55
"0927-LCSMG";"Male";"No";"No";"No";7;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"No";"No";"Month-to-month";"No";"Mailed check";74.65;544.55;"Yes";"0-12 Months";1;"No";77.792857
"0928-JMXNP";"Male";"Yes";"Yes";"No";4;"No";"No phone service";"DSL";"No";"No";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";29.9;118.25;"No";"0-12 Months";1;"Yes";29.5625
"0928-XUTSN";"Female";"No";"No";"No";13;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Electronic check";80.5;1011.8;"No";"13-24 Months";1;"Yes";77.830769
"0929-HYQEW";"Male";"No";"No";"No";3;"Yes";"No";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";50.15;160.85;"No";"0-12 Months";1;"No";53.616667
"0929-PECLO";"Female";"Yes";"No";"No";63;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"No";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";89.6;5538.8;"No";"49-72 Months";2;"No";87.91746
"0930-EHUZA";"Female";"No";"No";"No";36;"Yes";"No";"DSL";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"One year";"Yes";"Mailed check";76.35;2606.35;"No";"25-48 Months";5;"No";72.398611
"0931-MHTEM";"Female";"No";"No";"No";54;"Yes";"No";"Fiber optic";"Yes";"Yes";"No";"No";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";100.05;5299.65;"No";"49-72 Months";4;"No";98.141667
"0932-YIXYU";"Female";"No";"No";"No";47;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Credit card (automatic)";20.25;1029.8;"No";"25-48 Months";0;"No";21.910638
"0936-NQLJU";"Female";"No";"Yes";"No";41;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Credit card (automatic)";20.65;875.55;"No";"25-48 Months";0;"No";21.354878
"0939-EREMR";"Female";"No";"No";"Yes";13;"Yes";"No";"DSL";"No";"No";"Yes";"Yes";"No";"No";"Month-to-month";"No";"Mailed check";53.45;718.1;"No";"13-24 Months";2;"No";55.238462
"0939-YAPAF";"Female";"No";"No";"No";35;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";100.25;3527.6;"Yes";"25-48 Months";3;"Yes";100.788571
"0940-OUQEC";"Male";"No";"No";"No";10;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";80.7;788.8;"Yes";"0-12 Months";1;"No";78.88
"0942-KOWSM";"Female";"No";"Yes";"Yes";30;"Yes";"No";"DSL";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"No";"Bank transfer (automatic)";80.8;2369.3;"No";"25-48 Months";5;"No";78.976667
"0943-ZQPXH";"Male";"No";"Yes";"Yes";44;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";92.95;4122.9;"No";"25-48 Months";3;"No";93.702273
"0945-TSONX";"Female";"No";"Yes";"Yes";47;"Yes";"Yes";"DSL";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Two year";"Yes";"Credit card (automatic)";85.3;4107.25;"No";"25-48 Months";5;"No";87.388298
"0946-CLJTI";"Male";"Yes";"Yes";"No";58;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";98.7;5812.6;"Yes";"49-72 Months";3;"Yes";100.217241
"0946-FKYTX";"Male";"No";"No";"No";52;"No";"No phone service";"DSL";"No";"Yes";"No";"No";"No";"No";"One year";"No";"Mailed check";30.1;1623.4;"No";"49-72 Months";1;"No";31.219231
"0947-IDHRQ";"Female";"No";"No";"No";7;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Mailed check";80.3;526.7;"Yes";"0-12 Months";1;"No";75.242857
"0947-MUGVO";"Male";"Yes";"Yes";"No";20;"Yes";"No";"Fiber optic";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";73.65;1463.5;"Yes";"13-24 Months";1;"Yes";73.175
"0952-KMEEH";"Male";"No";"No";"No";13;"Yes";"Yes";"Fiber optic";"Yes";"No";"No";"No";"Yes";"Yes";"Month-to-month";"No";"Mailed check";98.15;1230.25;"Yes";"13-24 Months";3;"No";94.634615
"0953-LGOVU";"Male";"No";"Yes";"Yes";12;"No";"No phone service";"DSL";"No";"Yes";"No";"Yes";"No";"No";"Month-to-month";"No";"Mailed check";35.5;432.25;"No";"0-12 Months";2;"No";36.020833
"0956-ACVZC";"Female";"No";"No";"No";54;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";94.1;5060.9;"No";"49-72 Months";3;"No";93.72037
"0956-SYCWG";"Female";"No";"No";"No";13;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Electronic check";19.65;244.8;"No";"13-24 Months";0;"No";18.830769
"0958-YHXGP";"Female";"No";"No";"No";7;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";69.9;497.3;"No";"0-12 Months";0;"No";71.042857
"0959-WHOKV";"Male";"No";"No";"No";42;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"No";"No";"Yes";"One year";"Yes";"Electronic check";99.0;4298.45;"No";"25-48 Months";4;"Yes";102.344048
"0960-HUWBM";"Male";"No";"Yes";"Yes";65;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Bank transfer (automatic)";104.1;6700.05;"No";"49-72 Months";4;"No";103.077692
"0961-ZWLVI";"Male";"No";"No";"Yes";49;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";109.2;5290.45;"No";"49-72 Months";5;"No";107.968367
"0962-CQPWQ";"Female";"No";"Yes";"Yes";62;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Bank transfer (automatic)";20.3;1296.15;"No";"49-72 Months";0;"No";20.905645
"0963-ZBDRN";"Male";"No";"No";"No";32;"Yes";"No";"Fiber optic";"No";"No";"No";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";96.2;3183.4;"Yes";"25-48 Months";3;"Yes";99.48125
"0967-BMLBD";"Female";"No";"Yes";"Yes";11;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"Yes";"Mailed check";20.0;196.35;"No";"0-12 Months";0;"No";17.85
"0968-GSIKN";"Female";"No";"No";"No";1;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";70.8;70.8;"Yes";"0-12 Months";0;"No";70.8
"0969-RGKCU";"Male";"No";"Yes";"Yes";37;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Credit card (automatic)";19.8;677.05;"No";"25-48 Months";0;"No";18.298649
"0970-ETWGE";"Male";"No";"No";"No";1;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";89.55;89.55;"Yes";"0-12 Months";2;"Yes";89.55
"0970-QXPXW";"Female";"No";"No";"No";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.65;19.65;"No";"0-12 Months";0;"No";19.65
"0971-QIFJK";"Female";"No";"Yes";"No";69;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Bank transfer (automatic)";24.25;1641.8;"No";"49-72 Months";0;"No";23.794203
"0973-KYVNF";"Female";"No";"Yes";"Yes";72;"Yes";"No";"DSL";"Yes";"Yes";"Yes";"No";"Yes";"No";"Two year";"Yes";"Credit card (automatic)";70.65;5011.15;"No";"49-72 Months";4;"No";69.599306
"0975-UYDTX";"Female";"No";"Yes";"No";26;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";90.1;2312.55;"No";"25-48 Months";6;"No";88.944231
"0975-VOOVL";"Female";"No";"No";"No";3;"No";"No phone service";"DSL";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";29.2;98.5;"No";"0-12 Months";1;"No";32.833333
"0979-MOZQI";"Male";"No";"Yes";"No";62;"No";"No phone service";"DSL";"No";"No";"No";"Yes";"Yes";"No";"Two year";"Yes";"Bank transfer (automatic)";39.0;2337.45;"No";"49-72 Months";2;"No";37.700806
"0979-PHULV";"Male";"No";"Yes";"Yes";69;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Credit card (automatic)";99.45;7007.6;"Yes";"49-72 Months";3;"No";101.55942
"0980-FEXWF";"Male";"No";"Yes";"Yes";26;"Yes";"No";"DSL";"No";"No";"Yes";"No";"No";"No";"One year";"No";"Mailed check";50.35;1285.8;"No";"25-48 Months";1;"No";49.453846
"0980-PVMRC";"Female";"No";"Yes";"Yes";40;"No";"No phone service";"DSL";"No";"Yes";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";50.85;2036.55;"No";"25-48 Months";3;"Yes";50.91375
"0983-TATYJ";"Female";"No";"Yes";"No";33;"Yes";"No";"DSL";"No";"No";"No";"Yes";"No";"No";"One year";"Yes";"Mailed check";51.45;1758.9;"No";"25-48 Months";1;"No";53.3
"0988-AADSA";"Female";"No";"Yes";"Yes";72;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"Two year";"No";"Bank transfer (automatic)";80.85;5824.75;"No";"49-72 Months";5;"No";80.899306
"0988-JRWWP";"Female";"No";"No";"No";3;"Yes";"No";"DSL";"No";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Electronic check";54.2;140.4;"No";"0-12 Months";1;"Yes";46.8
"0991-BRRFB";"Male";"No";"No";"No";18;"Yes";"No";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"No";"Electronic check";49.4;874.8;"Yes";"13-24 Months";1;"No";48.6
"0993-OSGPT";"Female";"Yes";"Yes";"No";68;"Yes";"No";"DSL";"No";"Yes";"Yes";"Yes";"No";"No";"One year";"Yes";"Bank transfer (automatic)";60.65;3975.9;"No";"49-72 Months";3;"No";58.469118
"0997-YTLNY";"Female";"No";"No";"Yes";19;"Yes";"No";"DSL";"No";"No";"No";"Yes";"No";"No";"Month-to-month";"No";"Mailed check";48.8;953.65;"No";"13-24 Months";1;"No";50.192105
"0999-QXNSA";"Male";"Yes";"No";"Yes";7;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";45.75;344.2;"No";"0-12 Months";0;"No";49.171429
"1000-AJSLD";"Male";"No";"No";"No";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"Yes";"Mailed check";20.1;20.1;"Yes";"0-12 Months";0;"No";20.1
"1004-NOZNR";"Male";"Yes";"No";"Yes";56;"Yes";"No";"Fiber optic";"Yes";"No";"No";"No";"Yes";"Yes";"One year";"No";"Credit card (automatic)";94.8;5264.3;"No";"49-72 Months";3;"No";94.005357
"1009-IRMNA";"Female";"No";"No";"No";7;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Bank transfer (automatic)";20.0;137.6;"Yes";"0-12 Months";0;"No";19.657143
"1010-DIAUQ";"Male";"No";"No";"No";5;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"No";"Bank transfer (automatic)";96.5;492.55;"Yes";"0-12 Months";3;"No";98.51
"1013-QCWAM";"Female";"Yes";"Yes";"No";66;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";100.8;6690.75;"No";"49-72 Months";3;"Yes";101.375
"1015-JPFYW";"Male";"No";"No";"Yes";7;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Mailed check";19.45;136.75;"No";"0-12 Months";0;"No";19.535714
"1015-OWJKI";"Male";"No";"No";"No";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.05;19.05;"No";"0-12 Months";0;"No";19.05
"1016-DJTSV";"Male";"Yes";"No";"No";8;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";69.7;572.85;"No";"0-12 Months";0;"Yes";71.60625
"1017-FBQMM";"Female";"No";"Yes";"Yes";62;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"Yes";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";106.05;6703.5;"No";"49-72 Months";4;"No";108.120968
"1020-JPQOW";"Female";"No";"Yes";"No";56;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"Yes";"No";"No";"Month-to-month";"No";"Electronic check";90.55;5116.6;"No";"49-72 Months";3;"No";91.367857
"1022-RKXDR";"Female";"No";"No";"No";41;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"Yes";"Mailed check";24.85;962.25;"No";"25-48 Months";0;"No";23.469512
"1023-BQXZE";"Male";"No";"No";"No";57;"Yes";"No";"DSL";"Yes";"No";"Yes";"No";"Yes";"Yes";"Two year";"Yes";"Bank transfer (automatic)";74.35;4317.35;"No";"49-72 Months";4;"No";75.742982
"1024-GUALD";"Female";"No";"Yes";"No";1;"No";"No phone service";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";24.8;24.8;"Yes";"0-12 Months";0;"Yes";24.8
"1024-KPRBB";"Female";"No";"No";"No";38;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"One year";"Yes";"Mailed check";89.1;3342.0;"No";"25-48 Months";2;"No";87.947368
"1024-VRZHF";"Male";"No";"Yes";"No";11;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";74.95;825.7;"Yes";"0-12 Months";0;"Yes";75.063636
"1025-FALIX";"Female";"No";"No";"No";26;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";69.05;1815.65;"No";"25-48 Months";0;"No";69.832692
"1027-LKKQQ";"Female";"No";"Yes";"Yes";72;"Yes";"No";"DSL";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Bank transfer (automatic)";80.45;5886.85;"No";"49-72 Months";5;"No";81.761806
"1028-FFNJK";"Male";"Yes";"Yes";"No";30;"Yes";"Yes";"Fiber optic";"No";"No";"No";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";101.5;2917.65;"No";"25-48 Months";3;"Yes";97.255
"1029-QFBEN";"Male";"No";"No";"No";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.55;19.55;"Yes";"0-12 Months";0;"No";19.55
"1031-IIDEO";"Female";"No";"No";"No";1;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";70.85;70.85;"Yes";"0-12 Months";0;"Yes";70.85
"1032-MAELW";"Female";"No";"Yes";"Yes";68;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"One year";"Yes";"Electronic check";78.45;5333.35;"No";"49-72 Months";5;"Yes";78.431618
"1035-IPQPU";"Female";"Yes";"Yes";"No";63;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";103.5;6479.4;"No";"49-72 Months";4;"Yes";102.847619
"1036-GUDCL";"Male";"No";"Yes";"Yes";60;"Yes";"No";"DSL";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Credit card (automatic)";79.05;4663.4;"No";"49-72 Months";5;"No";77.723333
"1038-RQOST";"Male";"No";"Yes";"Yes";19;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";20.6;414.95;"No";"13-24 Months";0;"No";21.839474
"1038-ZAGBI";"Female";"No";"Yes";"Yes";12;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Bank transfer (automatic)";19.8;229.6;"Yes";"0-12 Months";0;"No";19.133333
"1041-RXHRA";"Female";"No";"No";"No";41;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Bank transfer (automatic)";70.25;2868.05;"Yes";"25-48 Months";0;"No";69.952439
"1042-HFUCW";"Female";"No";"No";"Yes";25;"Yes";"No";"DSL";"No";"Yes";"No";"Yes";"No";"No";"One year";"Yes";"Credit card (automatic)";54.75;1266.35;"No";"25-48 Months";2;"No";50.654
"1043-UXOVO";"Female";"No";"No";"No";71;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Credit card (automatic)";113.15;7993.3;"No";"49-72 Months";6;"No";112.58169
"1043-YCUTE";"Male";"No";"Yes";"No";56;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"Yes";"Credit card (automatic)";25.15;1327.15;"Yes";"49-72 Months";0;"No";23.699107
"1045-LTCYT";"Female";"No";"Yes";"Yes";8;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Credit card (automatic)";21.05;139.75;"No";"0-12 Months";0;"No";17.46875
"1047-NNCBF";"Male";"No";"No";"No";20;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Credit card (automatic)";70.55;1493.55;"No";"13-24 Months";0;"No";74.6775
"1047-RNXZV";"Male";"No";"No";"No";43;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Mailed check";19.55;876.15;"No";"25-48 Months";0;"No";20.375581
"1049-FYSYG";"Female";"No";"Yes";"No";17;"No";"No phone service";"DSL";"No";"Yes";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";35.65;646.05;"No";"13-24 Months";2;"No";38.002941
"1051-EQPZR";"Female";"No";"Yes";"Yes";44;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.6;780.25;"No";"25-48 Months";0;"No";17.732955
"1051-GEJLJ";"Female";"No";"No";"No";2;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.5;27.55;"No";"0-12 Months";0;"No";13.775
"1052-QJIBV";"Female";"No";"Yes";"Yes";71;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Credit card (automatic)";19.9;1397.3;"No";"49-72 Months";0;"No";19.680282
"1053-MXTTK";"Female";"No";"Yes";"Yes";72;"Yes";"No";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Bank transfer (automatic)";108.65;7726.35;"No";"49-72 Months";6;"No";107.310417
